,date, pm25, pm10
384,2019-11-19, 130, 64
385,2019-11-20, 136, 62
386,2019-11-21, 136, 59
387,2019-11-22, 123, 57
388,2019-11-23, 123, 50
389,2019-11-24, 129, 53
390,2019-11-25, 135, 57
391,2019-11-26, 134, 74
392,2019-11-27, 143, 56
393,2019-11-28, 108, 60
394,2019-11-29, 111, 
395,2019-12-01, 103, 49
396,2019-12-02, 104, 50
397,2019-12-03, 110, 54
398,2019-12-04, 121, 61
399,2019-12-05, 128, 63
400,2019-12-06, 121, 56
401,2019-12-07, 102, 53
402,2019-12-08, 103, 51
403,2019-12-09, 101, 50
404,2019-12-10, 102, 44
405,2019-12-11, 99, 56
406,2019-12-12, 119, 23
407,2019-12-13, 77, 30
408,2019-12-14, 77, 35
409,2019-12-15, 87, 31
410,2019-12-16, 75, 43
411,2019-12-17, 105, 51
412,2019-12-18, 100, 
413,2019-12-20, 85, 57
414,2019-12-21, 138, 68
415,2019-12-22, 119, 23
416,2019-12-23, 59, 44
417,2019-12-24, 105, 43
418,2019-12-25, 92, 47
419,2019-12-26, 105, 42
420,2019-12-27, 117, 56
421,2019-12-28, 133, 58
422,2019-12-29, 137, 
423,2019-07-01, 72, 32
424,2019-07-02, 53, 
425,2019-07-05, 39, 15
426,2019-07-06, 30, 12
427,2019-07-07, 30, 14
428,2019-07-08, 36, 9
429,2019-07-09, 29, 9
430,2019-07-10, 31, 4
431,2019-07-11, 15, 5
432,2019-07-12, 19, 10
433,2019-07-13, 31, 19
434,2019-07-14, 52, 29
435,2019-07-15, 65, 
436,2019-04-01, 50, 
437,2019-04-02, 53, 
438,2019-04-03, 58, 
439,2019-04-04, 62, 
440,2019-04-07, 38, 
441,2019-04-08, 41, 
442,2019-04-09, 39, 
443,2019-04-10, 37, 
444,2019-04-11, 35, 
445,2019-04-12, 45, 
446,2019-04-13, 40, 
447,2019-04-14, 35, 
448,2019-04-15, 35, 
449,2019-04-16, 35, 
450,2019-04-17, 23, 
451,2019-04-18, 35, 
452,2019-04-19, 43, 
453,2019-04-20, 77, 
454,2019-04-21, 104, 
455,2019-04-22, 109, 
456,2019-04-23, 98, 
457,2019-04-24, 87, 
458,2019-04-25, 83, 
459,2019-04-26, 80, 
460,2019-04-27, 82, 
461,2019-04-28, 76, 
462,2019-04-29, 77, 
463,2019-04-30, 79, 
464,2019-05-01, 79, 
465,2019-05-02, 65, 
466,2019-05-03, 69, 
467,2019-05-04, 49, 
468,2019-05-05, 59, 
469,2019-05-06, 81, 
470,2019-05-07, 94, 
471,2019-05-08, 99, 
472,2019-05-09, 93, 
473,2019-05-10, 85, 
474,2019-05-11, 75, 
475,2019-05-12, 55, 
476,2019-06-08, 64, 51
477,2019-06-09, 72, 54
478,2019-06-10, 86, 52
479,2019-06-11, 79, 53
480,2019-06-12, 76, 53
