date, pm25, pm10
2020/8/23, 21, 5
2020/8/24, 24, 5
2020/8/25, 22, 7
2020/8/26, 30, 7
2020/8/27, 33, 5
2020/8/28, 22, 7
2020/8/29, 29, 10
2020/8/30, 43, 11
2020/8/31, 46, 11
2020/9/1, 46, 7
2020/9/2, 31, 8
2020/9/3, 37, 13
2020/9/4, 52, 13
2020/9/5, 54, 13
2020/9/6, 53, 13
2020/9/7, 53, 11
2020/9/8, 48, 10
2020/9/9, 41, 14
2020/9/10, 54, 12
2020/9/11, 50, 9
2020/9/12, 41, 
2020/9/17, 68, 14
2020/9/18, 56, 14
2020/9/19, 54, 11
2020/9/20, 45, 10
2020/9/21, 42, 9
2020/9/22, 40, 2
2020/9/23, 9, 2
2020/9/24, 10, 5
2020/9/25, 22, 6
2020/9/26, 27, 23
2020/9/27, 48, 31
2020/9/28, 61, 38
2020/9/29, 87, 
2020/4/1, 92, 19
2020/4/2, 62, 26
2020/4/3, 77, 36
2020/4/4, 105, 46
2020/4/5, 130, 48
2020/4/6, 135, 46
2020/4/7, 125, 45
2020/4/8, 125, 36
2020/4/9, 96, 52
2020/4/10, 135, 62
2020/4/11, 160, 55
2020/4/12, 148, 52
2020/4/13, 143, 45
2020/4/14, 125, 21
2020/4/15, 72, 32
2020/4/16, 96, 31
2020/4/17, 96, 18
2020/4/18, 63, 15
2020/4/19, 53, 14
2020/4/20, 51, 13
2020/4/21, 53, 10
2020/4/22, 42, 16
2020/4/23, 59, 15
2020/4/24, 58, 
2020/4/30, 66, 14
2020/5/1, 58, 15
2020/5/2, 59, 16
2020/5/3, 60, 14
2020/5/4, 54, 
2020/5/6, 47, 12
2020/5/7, 45, 11
2020/5/8, 46, 18
2020/5/9, 64, 21
2020/5/10, 70, 22
2020/5/11, 72, 19
2020/5/12, 68, 21
2020/5/13, 72, 25
2020/5/14, 78, 27
2020/5/15, 86, 26
2020/5/16, 81, 25
2020/5/17, 77, 25
2020/5/18, 80, 19
2020/5/19, 64, 19
2020/5/20, 67, 19
2020/5/21, 66, 18
2020/5/22, 66, 16
2020/5/23, 60, 22
2020/5/24, 71, 22
2020/5/25, 70, 
2020/5/27, 67, 15
2020/5/28, 58, 11
